Model,Mean AUC,Std AUC
Logistic Regression,0.9060068090283966,0.0032360483994591602
Controlled Decision Tree,0.8859167803711087,0.004166244880995228
Random Forest,0.9121063379240489,0.00331199757608858
Gradient Boosting,0.921567100807831,0.003915491877308408
