,precision,recall,f1-score,support
0,0.9337306317044101,0.792914979757085,0.8575807334428024,4940.0
1,0.5577172503242542,0.8227040816326531,0.6647771192991497,1568.0
accuracy,0.8000921942224954,0.8000921942224954,0.8000921942224954,0.8000921942224954
macro avg,0.7457239410143321,0.807809530694869,0.7611789263709761,6508.0
weighted avg,0.8431361353915514,0.8000921942224954,0.8111277422047496,6508.0
